Item,Details,e.g. Brand,e.g. Part num,e.g. Link
Soldering iron,Soldering station,RS PRO, RS: 202-4512,https://uk.rs-online.com/web/p/soldering-stations/2024512
Soldering iron tips,"0.8 mm Straight Conical Soldering Iron Tip",RS PRO,RS: 799-8985,https://uk.rs-online.com/web/p/soldering-iron-tips/7998985
3D printer,"Printbed size: fits at least 1 AberTrap Arm (10cm wide)",Robox (discontinued),RBX01-BK,https://www.idig3dprinting.co.uk/shop/brand/cel-uk/robox-3d-printer/
Tacometer,"Tachometer Best Accuracy ±0.05 %",RS PRO,RS:193-8687,https://uk.rs-online.com/web/p/tachometers/1938687
Solder wire ,"0.8mm Lead Free Solder, 227°C Melting Point. Use lead free, needs slightly higher temp",RS PRO,RS: 818-3204,https://uk.rs-online.com/web/p/solder/8183204
Glue gun + glue sticks,none,any,any,
Stainless steel core borer,"Diameter: 7mm",any,any,
Stainless steel needle,"Diameter: 2mm",any,any,
Laser cutter,"Suitable for A4 2mm Acrylic",any,any,
Drill and bit,"For making holes in wooden poles for retort stand arms",any,any,
Solder 3rd hand,"Device for holding components stable while soldering",any,any,
